text,airline_sentiment
"I love the flight!",positive
"The service was terrible.",negative
"Great experience with staff.",positive
"Flight delayed and no update!",negative
"Very comfortable journey.",positive
I absolutely loved the flight! Great service and friendly staff.",positive
"The flight was delayed for hours. Very disappointed.",negative
"Comfortable seats but food was average.",neutral
"Amazing journey, staff was so helpful and kind.",positive
"This airline always cancels flights at the last minute.",negative
"Fair prices and timely departure — pretty satisfied.",positive
"The baggage got lost and no one responded!",negative
"Flight was empty and quiet, nice experience.",positive
"Seats were cramped and air-conditioning didn't work.",negative
"Good service, but the snacks were bad.",negative
"These headphones have amazing sound quality, highly recommend!",positive
"The phone battery drains too fast, very bad product.",negative
"Very happy with the laptop performance, works perfectly!",positive
"Bought these shoes online, arrived damaged. Not happy.",negative
"Smartwatch tracks fitness accurately, very useful.",positive
"Headphones are uncomfortable and hurt my ears.",negative
"The laptop fan is too noisy, annoying during work.",negative
"Phone camera quality is excellent, clear pictures.",positive
"Smartwatch stopped working after a week.",negative
"These shoes are super comfortable for long walks.",positive
"Check‑in staff was polite and helpful.",positive
"We had to wait too long for boarding.",negative
"Smooth flight, landed earlier than schedule.",positive
"Entertainment system didn't work at all.",negative
"Friendly crew and clean cabin — enjoyed it.",positive
"Delayed takeoff ruined my day.",negative
"Average experience — nothing special.",neutral
"Great flight overall, will travel again.",positive
"The toilets were dirty, very bad hygiene.",negative
"Captain was courteous, good journey.",positive
"The flight was noisy and uncomfortable.",negative
"Staff helped me with my luggage — very thankful.",positive
"Food was cold and taste was horrible.",negative
"Window seat, nice view, good flight.",positive
"Lost my connecting flight due to delay, very upset.",negative
"Boarding was smooth, no hassle — good job.",positive
"Service was okay, but seats were too tight.",negative
"Friendly staff but flight was delayed.",negative
"Nice quick flight, no turbulence, calm ride.",positive
"WiFi didn’t work the whole time — frustrating.",negative
"Pleasant flight, good staff behavior.",positive
"Flight canceled without notice — awful.",negative
"Good food and comfortable journey.",positive
"Plane was old and dirty, horrible experience.",negative
"Quick check‑in, smooth takeoff.",positive
"Entertainment options were boring.",negative
"Flight was on time and crew was good.",positive
"Flight attendants were rude and unhelpful.",negative
"Lovely service and clean interior.",positive
"Lost my luggage and no proper help!",negative
"Seats were fine but snacks were bad.",negative
"Beautiful sunset from window seat, good flight.",positive
"Very disappointed with the boarding process.",negative
"Friendly staff, nice flight!",positive
"Flight was extremely delayed — ruined plan.",negative
"Smooth landing and helpful staff.",positive
"Flight was delayed, no apology — disappointed.",negative
"Air conditioning broken during flight, so hot.",negative
"Great baggage handling service.",positive
"Flight was comfortable and on time.",positive
"The cabin was noisy and kids were crying non-stop.",negative
"Staff helped when I fell sick — very grateful.",positive
"Bad experience with seat spacing.",negative
"Amazing food and great service.",positive
"Never flying with this airline again.",negative
"Seats very narrow — painful journey.",negative
"Good flight overall, safe landing.",positive
"Delayed boarding, wasted time.",negative
"Helpful crew, smooth check‑in.",positive
"Food quality was terrible.",negative
"Flight was punctual — nice experience.",positive
"Flight was overcrowded and uncomfortable.",negative
"Very smooth flight, no complaints.",positive
"Worst customer service ever.",negative
"Checked in luggage lost — very upset.",negative
"Nice cabin, good crew.",positive
"Flight was okay, but not impressive.",neutral
"Airline staff were friendly and helpful.",positive
"Flight delayed multiple times, frustrating.",negative
"Crew was courteous and flight comfortable.",positive
"Baggage lost and no update — awful service.",negative
"Reasonable price for good service.",positive
"Flight food tasted awful.",negative
"Seats were comfortable and clean.",positive
"Flight was very hot inside cabin.",negative
"Great check‑in process and fast boarding.",positive
"Flight canceled last minute — ruined plan.",negative
"Drinks were fine but food was terrible.",negative
"On‑time departure, smooth experience.",positive
"Flight was delayed, no information given.",negative
"Very nice crew and timely flight.",positive
"Flight seats were broken — terrible.",negative
"Good overall travel experience.",positive
"Cabin crew was rude and unhelpful.",negative
"Food was tasty and service fast.",positive
"Flight lost one of my bags — very bad.",negative
"Flight was delayed — missed my meeting.",negative
"Comfortable seats and friendly staff.",positive
"The seats were dirty and floor was messy.",negative
"Service was quick and check‑in smooth.",positive
"Seat belt issue mid‑air — scary experience.",negative
"Flight was delayed for hours with no update.",negative
"Great atmosphere and good service.",positive
"Plane was cramped and fumes smell bad.",negative
"Food served was delicious.",positive
"Flight was late but staff was polite.",positive
"Seats were uncomfortable, never again.",negative
"Fast baggage claim, smooth pickup.",positive
"Overbooked flight, I stood for hours.",negative
"Lovely flight, nice cabin crew.",positive
"Entertainment system broken — so boring.",negative
"Timely takeoff and landing — good experience.",positive
"Flight had turbulence, made me sick.",negative
"Nice meal and good seats.",positive
"Flight service ruined due to delay.",negative
"Great flight, clean interior.",positive
"Seat was broken, worst travel ever.",negative
"Helpful staff, quick boarding.",positive
"Baggage lost again — very upset.",negative
"These headphones have amazing sound quality, highly recommend!",positive
"The phone battery drains too fast, very bad product.",negative
"Very happy with the laptop performance, works perfectly!",positive
"Bought these shoes online, arrived damaged. Not happy.",negative
"Smartwatch tracks fitness accurately, very useful.",positive
"Headphones are uncomfortable and hurt my ears.",negative
"Phone camera quality is excellent, clear pictures.",positive
"Smartwatch stopped working after a week.",negative
"These shoes are super comfortable for long walks.",positive
"Laptop screen flickers sometimes, annoying.",negative
"Mobile phone is fast and responsive, very happy!",positive
"Headphones broke after 2 weeks, poor quality.",negative
"These shoes look amazing and fit perfectly!",positive
"Smartwatch battery lasts long, satisfied.",positive
"Phone overheats quickly, very disappointed.",negative
"Laptop keyboard keys stuck sometimes.",negative
"Headphones sound is clear but too loud.",positive
